date,year,month,day,population,tot_case,Dose1_Complete,Series_Complete
2020-12-14,2020,12,14,334735155,16304033,0,0
2020-12-15,2020,12,15,334735155,16501573,0,0
2020-12-16,2020,12,16,334735155,16738710,0,0
2020-12-17,2020,12,17,334735155,16981259,0,0
2020-12-18,2020,12,18,334735155,17214931,0,0
2020-12-19,2020,12,19,334735155,17415285,0,0
2020-12-20,2020,12,20,334735155,17598639,0,0
2020-12-21,2020,12,21,334735155,17779161,0,0
2020-12-22,2020,12,22,334735155,17975159,0,0
2020-12-23,2020,12,23,334735155,18196678,0,0
2020-12-24,2020,12,24,334735155,18394415,0,0
2020-12-25,2020,12,25,334735155,18549281,0,0
2020-12-26,2020,12,26,334735155,18695755,0,0
2020-12-27,2020,12,27,334735155,18848939,0,0
2020-12-28,2020,12,28,334735155,19023025,0,0
2020-12-29,2020,12,29,334735155,19228493,0,0
2020-12-30,2020,12,30,334735155,19459729,0,0
2020-12-31,2020,12,31,334735155,19683746,0,0
2021-01-01,2021,1,1,334735155,19905300,0,0
2021-01-02,2021,1,2,334735155,20128221,0,0
2021-01-03,2021,1,3,334735155,20330856,0,0
2021-01-04,2021,1,4,334735155,20500907,0,0
2021-01-05,2021,1,5,334735155,20740208,0,0
2021-01-06,2021,1,6,334735155,20991715,0,0
2021-01-07,2021,1,7,334735155,21254337,0,0
2021-01-08,2021,1,8,334735155,21540707,0,0
2021-01-09,2021,1,9,334735155,21790073,0,0
2021-01-10,2021,1,10,334735155,22008614,0,0
2021-01-11,2021,1,11,334735155,22208499,0,0
2021-01-12,2021,1,12,334735155,22422310,0,0
2021-01-13,2021,1,13,334735155,22643257,0,0
2021-01-14,2021,1,14,334735155,22860650,0,0
2021-01-15,2021,1,15,334735155,23094344,0,0
2021-01-16,2021,1,16,334735155,23301256,0,0
2021-01-17,2021,1,17,334735155,23479673,0,0
2021-01-18,2021,1,18,334735155,23626920,0,0
2021-01-19,2021,1,19,334735155,23773490,0,0
2021-01-20,2021,1,20,334735155,23955847,0,0
2021-01-21,2021,1,21,334735155,24137932,0,0
2021-01-22,2021,1,22,334735155,24322920,0,0
2021-01-23,2021,1,23,334735155,24481882,0,0
2021-01-24,2021,1,24,334735155,24620367,0,0
2021-01-25,2021,1,25,334735155,24750345,0,0
2021-01-26,2021,1,26,334735155,24893304,0,0
2021-01-27,2021,1,27,334735155,25045581,0,0
2021-01-28,2021,1,28,334735155,25196023,0,0
2021-01-29,2021,1,29,334735155,25354582,0,0
2021-01-30,2021,1,30,334735155,25486511,0,0
2021-01-31,2021,1,31,334735155,25594350,0,0
2021-02-01,2021,2,1,334735155,25719658,0,0
